거래년월,지역명,건물유형,거래건수,거래액(억원),평균가격(만원)
2023-01,강남구,아파트,112,4003.060635615141,20793.17461701789
2023-01,강남구,단독주택,81,3033.4265725654795,18133.808122916344
2023-01,강남구,오피스텔,476,589.8770875082141,47547.142520689114
2023-01,강남구,상가,382,3045.4635575417233,71683.04004621641
2023-01,강남구,주상복합,159,376.41673723279126,73033.880909882
2023-01,강남구,다세대주택,423,1140.4616423235532,20637.02181908876
2023-01,강남구,빌라,286,3125.659397175811,62330.35656736325
2023-01,강동구,아파트,262,2216.530591346367,31249.226599210066
2023-01,강동구,단독주택,68,2059.318761404752,7526.569331720696
2023-01,강동구,오피스텔,197,1895.1730321390894,47238.78846905249
2023-01,강동구,상가,184,3130.091445732128,40098.81315291479
2023-01,강동구,주상복합,253,3002.831387424008,7505.690033839779
2023-01,강동구,다세대주택,316,3433.5069390801204,46698.42744104567
2023-01,강동구,빌라,283,4749.539132541333,96666.30720823226
2023-01,강북구,아파트,251,1988.540862445589,4548.726465360777
2023-01,강북구,단독주택,395,3452.741829909569,45694.79189274133
2023-01,강북구,오피스텔,464,3088.9836231348427,83819.90643840794
2023-01,강북구,상가,44,4555.6699701860325,28101.65821520164
2023-01,강북구,주상복합,369,3801.2709105564973,44240.119825650734
2023-01,강북구,다세대주택,63,2778.8803687820705,20930.882185976123
2023-01,강북구,빌라,200,4227.195395515493,46626.15093686727
2023-01,강서구,아파트,211,4484.6540170954795,60996.29794467526
2023-01,강서구,단독주택,313,1700.0497671485934,58333.06551732374
2023-01,강서구,오피스텔,261,321.61371566163655,34557.04208403664
2023-01,강서구,상가,217,3761.868539673166,55350.136841740736
2023-01,강서구,주상복합,289,1848.0913007985876,30250.647439675933
2023-01,강서구,다세대주택,389,1452.3959919104625,31738.530053295992
2023-01,강서구,빌라,310,465.298154030877,98728.03285025018
2023-01,관악구,아파트,353,2034.9194390602916,31468.3529476497
2023-01,관악구,단독주택,72,4095.7609994286872,71565.16235321885
2023-01,관악구,오피스텔,172,3971.860148602908,61778.1175537581
2023-01,관악구,상가,499,1856.4820698669357,14239.298773937582
2023-01,관악구,주상복합,144,4265.189031170016,46596.71539140573
2023-01,관악구,다세대주택,42,411.4359164015158,33165.285206419234
2023-01,관악구,빌라,225,3363.0195474257334,60355.88540764953
2023-01,광진구,아파트,223,4447.342438624,48804.84774070908
2023-01,광진구,단독주택,110,4861.389267406608,85344.64095381013
2023-01,광진구,오피스텔,14,2850.2582680905316,77783.81645559242
2023-01,광진구,상가,368,298.1245887383136,71934.30029952138
2023-01,광진구,주상복합,355,224.5537210460664,13465.468418350532
2023-01,광진구,다세대주택,72,4489.241618800245,49110.91164866484
2023-01,광진구,빌라,105,3508.028823488025,16515.15107736994
2023-01,구로구,아파트,240,2110.8763228745856,76288.46043867573
2023-01,구로구,단독주택,45,4719.982495734107,61089.95024938799
2023-01,구로구,오피스텔,252,889.9843075446216,93180.67227722959
2023-01,구로구,상가,54,1548.6050606047986,13232.94320353625
2023-01,구로구,주상복합,293,4037.993176805661,21097.295711945477
2023-01,구로구,다세대주택,295,4428.073268702455,34461.467037511575
2023-01,구로구,빌라,357,1845.859406577177,90962.35882993814
2023-01,금천구,아파트,394,1216.8822964555143,44429.455496746865
2023-01,금천구,단독주택,125,1827.587396037428,32563.782041328817
2023-01,금천구,오피스텔,207,2602.661782630072,43488.86730543156
2023-01,금천구,상가,174,3492.936561162325,29132.996378456584
2023-01,금천구,주상복합,161,4720.257549171344,34350.68440601326
2023-01,금천구,다세대주택,105,2834.6998098849717,42172.10859262996
2023-01,금천구,빌라,327,4861.732205332707,96357.3876093848
2023-01,노원구,아파트,304,2536.5176788726885,32185.196052226656
2023-01,노원구,단독주택,122,4988.928376739815,28877.758384702644
2023-01,노원구,오피스텔,11,2563.1272138214213,7993.438871248967
2023-01,노원구,상가,494,1790.8491153307466,64532.08043603229
2023-01,노원구,주상복합,135,809.9848732469932,50476.91774692361
2023-01,노원구,다세대주택,169,2809.176136449507,60491.582216301176
2023-01,노원구,빌라,448,3831.936115110716,26050.84176726277
2023-01,도봉구,아파트,264,4035.3848062614898,48619.16154126573
2023-01,도봉구,단독주택,107,3204.295582728384,54970.14435525157
2023-01,도봉구,오피스텔,249,4011.8911124243004,17619.601764646657
2023-01,도봉구,상가,196,1013.9407009592858,6955.1887308121
2023-01,도봉구,주상복합,157,1697.1986354892354,24363.381613858186
2023-01,도봉구,다세대주택,355,2609.2559856664766,24970.09019419998
2023-01,도봉구,빌라,361,571.2651003479617,94230.75665549158
2023-01,동대문구,아파트,433,1995.0031968726332,93862.80890746324
2023-01,동대문구,단독주택,138,3410.8815734924756,74315.9635663549
2023-01,동대문구,오피스텔,443,4630.998729564958,88101.91727795516
2023-01,동대문구,상가,108,1219.8951068067684,19970.62792830581
2023-01,동대문구,주상복합,121,2820.4839768373654,54376.10610053263
2023-01,동대문구,다세대주택,11,4981.643128813829,96645.67707501298
2023-01,동대문구,빌라,462,4512.0484801003195,64410.84135550699
2023-01,동작구,아파트,18,1466.4696277016913,70934.70950735881
2023-01,동작구,단독주택,217,4495.840273767628,89047.38315371638
2023-01,동작구,오피스텔,129,4450.073483928703,85540.05953044874
2023-01,동작구,상가,122,891.9806990636075,90159.75628712669
2023-01,동작구,주상복합,349,2945.3644450386278,39111.42835648908
2023-01,동작구,다세대주택,482,3351.1586686294736,3490.9736330832125
2023-01,동작구,빌라,393,1596.282915687528,50104.53409786398
2023-01,마포구,아파트,172,3294.6101715627424,24754.123017674297
2023-01,마포구,단독주택,170,188.56928171605225,50907.69037279316
2023-01,마포구,오피스텔,313,3757.807885078318,66014.39120757981
2023-01,마포구,상가,144,3632.6056288354334,32881.896809681755
2023-01,마포구,주상복합,185,559.0063623576532,38668.43289676505
2023-01,마포구,다세대주택,384,1327.2629111673623,60217.472213372756
2023-01,마포구,빌라,239,2026.178850867126,89528.51585217999
2023-01,서대문구,아파트,292,2228.5323910011,36957.605546383544
2023-01,서대문구,단독주택,106,2926.8290346691597,50774.2163004298
2023-01,서대문구,오피스텔,462,1227.907814383621,51421.75784882098
2023-01,서대문구,상가,13,219.14823551412383,65610.81270299529
2023-01,서대문구,주상복합,26,4973.297502906971,48584.61785712146
2023-01,서대문구,다세대주택,55,4582.835512080198,38905.39392477811
2023-01,서대문구,빌라,242,4770.052050417371,35082.77955303983
2023-01,서초구,아파트,311,4836.608613313981,96471.13777765752
2023-01,서초구,단독주택,490,469.1966544300282,32652.61087085664
2023-01,서초구,오피스텔,425,4270.569690432599,33741.43450015893
2023-01,서초구,상가,137,1926.1656487608416,41285.072280518805
2023-01,서초구,주상복합,63,3510.5460037073676,58295.933498668404
2023-01,서초구,다세대주택,289,1123.701716315265,68100.9211319329
2023-01,서초구,빌라,160,786.4116746589677,53277.97627928246
2023-01,성동구,아파트,395,1680.4987447691426,85320.97010769341
2023-01,성동구,단독주택,402,3542.1720115368353,37870.64166831625
2023-01,성동구,오피스텔,486,1552.8997038742125,43718.74307528882
2023-01,성동구,상가,315,4348.654361042508,91584.33359797772
2023-01,성동구,주상복합,400,2557.429843967278,80434.63235977718
2023-01,성동구,다세대주택,330,447.61049329964555,41488.03123974717
2023-01,성동구,빌라,151,4461.026174906075,35785.53021459897
2023-01,성북구,아파트,101,2936.4379879870376,45531.98993275443
2023-01,성북구,단독주택,456,276.1171416040362,48163.00775884864
2023-01,성북구,오피스텔,72,4911.020352721603,84376.54970072824
2023-01,성북구,상가,67,249.4512247013422,6622.774308673798
2023-01,성북구,주상복합,335,1586.0010218987918,55096.99543807558
2023-01,성북구,다세대주택,110,2658.9919742685415,77689.37465056525
2023-01,성북구,빌라,117,3152.163331513101,11278.704104395496
2023-01,송파구,아파트,374,1052.4621665748778,42901.32879049782
2023-01,송파구,단독주택,364,3223.4065173412123,73430.85937109817
2023-01,송파구,오피스텔,278,4850.7306488593795,72315.72510545535
2023-01,송파구,상가,156,3996.412354366648,29270.7283724212
2023-01,송파구,주상복합,101,3745.8089506956653,27333.471152626138
2023-01,송파구,다세대주택,483,4816.977231921833,84090.07168968396
2023-01,송파구,빌라,402,3473.6495137502952,8644.77876431903
2023-01,양천구,아파트,131,866.5415090883216,27273.561121965748
2023-01,양천구,단독주택,135,559.9791213983297,20738.00171940881
2023-01,양천구,오피스텔,246,1471.67609503512,95621.93222432982
2023-01,양천구,상가,496,3319.8455096508173,45260.271171755434
2023-01,양천구,주상복합,358,2156.0403058961706,27029.905981612275
2023-01,양천구,다세대주택,153,877.3675934482061,14655.970837147292
2023-01,양천구,빌라,294,668.7559384838895,7462.256276110016
2023-01,영등포구,아파트,103,4291.756861653936,71254.81235986229
2023-01,영등포구,단독주택,213,184.08939897557616,77046.34903137936
2023-01,영등포구,오피스텔,350,2420.0116768247717,19800.581381271473
2023-01,영등포구,상가,231,3283.8910449495406,7661.715647112272
2023-01,영등포구,주상복합,255,3211.958889251455,7394.488947888318
2023-01,영등포구,다세대주택,232,174.99224742288527,93543.32188370985
